subject,field,value,source,observed,confidence,note,license
da-costastraat-51,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
da-costastraat-51,photo_heading,3.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
damstraat-8,coordinate,"52.3723333,4.8945",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 277.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
damstraat-8,key_photo,PicturesOriginal/IMG_1217.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
damstraat-8,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
damstraat-8,photo_heading,277.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
daniel-goedkoopstraat-1,coordinate,"52.3355,4.9198333",photos-2009,2009-11-17,0.9,"own GPS, DOP 1.0, camera bearing 252.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
daniel-goedkoopstraat-1,key_photo,PicturesOriginal/IMG_5053.JPG,photos-2009,2009-11-17,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
daniel-goedkoopstraat-1,trading,true,photos-2009,2009-11-17,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
daniel-goedkoopstraat-1,photo_heading,252.9,photos-2009,2009-11-17,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
daniel-stalpertstraat-78,coordinate,"52.3561667,4.8911667",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 271.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
daniel-stalpertstraat-78,key_photo,PicturesOriginal/IMG_0585.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
daniel-stalpertstraat-78,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
daniel-stalpertstraat-78,photo_heading,271.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
dapperstraat-2,coordinate,"52.3653333,4.9258333",photos-2009,2009-10-13,0.9,"own GPS, DOP 1.0, camera bearing 105.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
dapperstraat-2,key_photo,PicturesOriginal/IMG_0462.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
dapperstraat-2,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
dapperstraat-2,photo_heading,105.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
de-clercqstraat-30,coordinate,"52.3713333,4.8715",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 307.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
de-clercqstraat-30,key_photo,PicturesOriginal/IMG_0780.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
de-clercqstraat-30,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
de-clercqstraat-30,photo_heading,307.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
dusartstraat-14,coordinate,"52.3526667,4.889",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 298.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
dusartstraat-14,key_photo,PicturesOriginal/IMG_0556.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
dusartstraat-14,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
dusartstraat-14,photo_heading,298.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
dusartstraat-22,coordinate,"52.3521667,4.8893333",photos-2009,2009-10-13,0.9,"own GPS, DOP 1.0, camera bearing 127.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
dusartstraat-22,key_photo,PicturesOriginal/IMG_0550.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
